20MICRONS,20 Microns
21STCENMGM,.21st Cent.. Mgmt.
3IINFOLTD,3i Infotech
3MINDIA,3M India
3PLAND,3P Land Hold
5PAISA,5Paisa Capital
63MOONS,63 Moons Tech
AAKASH,Aakash Explor
AAREYDRUGS,Aarey Drugs
AARON,Aaron Industries
AARTIDRUGS,Aarti Drugs
AARTIIND,Aarti Industries
AARTISURF,Aarti Surfactant
AARVEEDEN,Aarvee Denims
AARVI,Aarvi Encon
AAVAS,AAVAS Financiers
ABB,A B B
ABBOTINDIA,Abbott India
ABCAPITAL,Aditya Birla Cap
ABFRL,.Aditya Bir.. Fas.
ABMINTLLTD,A B M Internatl
ABSLAMC,Aditya AMC
ACC,ACC
ACCELYA,Accelya Solution
ACCURACY,Accuracy Shippi
ACE,.Action Const..Eq.
ACRYSIL,Acrysil
ADANIENT,Adani Enterp
ADANIGREEN,Adani Green
ADANIPORTS,Adani Ports
ADANIPOWER,Adani Power
ADFFOODS,ADF Foods
ADORWELD,Ador Welding
ADSL,Allied Digital
ADVANIHOTR,Advani Hotels
ADVENZYMES,Advanced Enzyme
AEGISCHEM,Aegis Logistics
AFFLE,Affle India
AGARIND,Agarwal Indl
AGROPHOS,Agro Phos India
AHLADA,Ahlada Engineers
AHLEAST,Asian Hotels (E)
AHLUCONT,Ahluwalia Contr
AIAENG,AIA Engineering
AIRAN,Airan
AIROLAM,Airo Lam
AJANTPHARM,Ajanta Pharma
AJMERA,Ajmera Realty
AJOONI,Ajooni Biotech
AJRINFRA,AJR Infra &
AKG,AKG Exim
AKSHARCHEM,AksharChem (I)
AKSHOPTFBR,Aksh Optifibre
AKZOINDIA,Akzo Nobel
ALANKIT,Alankit
ALBERTDAVD,Albert David
ALEMBICLTD,Alembic
ALICON,Alicon Cast
ALKALI,Alkali Metals
ALKEM,Alkem Lab
ALKYLAMINE,Alkyl Amines
ALLCARGO,Allcargo Logist
ALLSEC,Allsec Tech
ALMONDZ,Almondz Global
ALOKINDS,Alok Industries
ALPA,Alpa Laboratorie
ALPHAGEO,Alphageo (India)
AMARAJABAT,Amara Raja Batt
AMBER,Amber Enterp
AMBICAAGAR,Ambica Agarbat
AMBIKCO,Ambika Cotton
AMBUJACEM,Ambuja Cements
AMDIND,AMD Industries
AMIORG,Ami Organics
AMJLAND,AMJ Land Holdin
AMRUTANJAN,Amrutanjan Healt
ANANDRATHI,Anand Rathi Wea
ANANTRAJ,Anant Raj
ANDHRACEMT,Andhra Cements
ANDHRAPAP,Andhra Paper
ANDHRSUGAR,Andhra Sugars
ANDREWYU,Andrew Yule & Co
ANGELONE,Angel One
ANIKINDS,Anik Industries
ANMOL,Anmol India
ANUP,The Anup Enginee
ANURAS,Anupam Rasayan
APARINDS,Apar Inds
APCL,Anjani Portland
APCOTEXIND,Apcotex Industri
APEX,Apex Frozen Food
APLAPOLLO,APL Apollo Tubes
APLLTD,Alembic Pharma
APOLLO,Apollo Micro Sys
APOLLOHOSP,Apollo Hospitals
APOLLOPIPE,Apollo Pipes
APOLLOTYRE,Apollo Tyres
APOLSINHOT,Apollo Sindoori
APTECHT,Aptech
APTUS,Aptus Value Hou
ARCHIDPLY,Archidply Inds
ARCHIES,Archies
ARENTERP,Rajdarshan Inds
ARIES,Aries Agro
ARIHANTCAP,Arihant Capital
ARIHANTSUP,Arihant Super
ARMANFIN,Arman Financial
AROGRANITE,Aro Granite Inds
ARROWGREEN,Arrow Greentech
ARSHIYA,Arshiya
ARSSINFRA,ARSS Infra
ARTEMISMED,Artemis Medicare
ARVEE,Arvee Laborat
ARVIND,Arvind Ltd
ARVINDFASN,Arvind Fashions
ASAHIINDIA,Asahi India Glas
ASAHISONG,Asahi Songwon
ASALCBR,.Assoc..Alcohols.
ASHAPURMIN,Ashapura Minech
ASHIANA,Ashiana Housing
ASHIMASYN,Ashima
ASHOKA,Ashoka Buildcon
ASHOKLEY,Ashok Leyland
ASIANENE,Asian Energy
ASIANHOTNR,Asian Hotels (N)
ASIANPAINT,Asian Paints
ASIANTILES,Asian Granito
ASPINWALL,Aspinwall & Co
ASTEC,Astec Lifescienc
ASTERDM,Aster DM Health
ASTRAL,Astral
ASTRAMICRO,Astra Microwave
ASTRAZEN,Astrazeneca Phar
ASTRON,Astron Paper
ATFL,Agro Tech Foods
ATULAUTO,Atul Auto
ATUL,Atul
AUBANK,AU Small Finance
AURIONPRO,Aurionpro Sol
AUROPHARMA,Aurobindo Pharma
AURUM,Aurum Proptech
AUSOMENT,Ausom Enter
AUTOAXLES,Automotive Axles
AUTOIND,Autoline Industr
AVADHSUGAR,Avadh Sugar
AVANTIFEED,Avanti Feeds
AVTNPL,AVT Natural Prod
AWHCL,Antony Waste han
AXISBANK,Axis Bank
AXISCADES,AXISCADES Tech
AYMSYNTEX,AYM Syntex
BAFNAPH,Bafna Pharma
BAJAJ-AUTO,Bajaj Auto
BAJAJCON,Bajaj Consumer
BAJAJELEC,Bajaj Electrical
BAJAJFINSV,Bajaj Finserv
BAJAJHCARE,Bajaj Healthcare
BAJAJHIND,Bajaj Hindusthan
BAJAJHLDNG,Bajaj Holdings
BAJFINANCE,Bajaj Finance
BALAJITELE,Balaji Telefilms
BALAMINES,Balaji Amines
BALAXI,Balaxi Pharma
BALKRISHNA,Balkrishna Paper
BALKRISIND,Balkrishna Inds
BALMLAWRIE,Balmer Lawrie
BALPHARMA,Bal Pharma
BALRAMCHIN,Balrampur Chini
BANARBEADS,Banaras Beads
BANARISUG,.Bannari Amm..Sug.
BANCOINDIA,Banco Products
BANDHANBNK,Bandhan Bank
BANG,Bang Overseas
BANKA,Banka Bioloo
BANKBARODA,Bank of Baroda
BANKINDIA,Bank of India
BANSWRAS,Banswara Syntex
BARBEQUE,Barbeque-Nation
BASF,BASF India
BASML,Bannari Amm Spg
BATAINDIA,Bata India
BAYERCROP,Bayer Crop Sci
BBL,Bharat Bijlee
BBTC,Bombay Burmah
BCLIND,BCL Industries
BCP,.B..C.. Power.
BDL,Bharat Dynamics
BEARDSELL,Beardsell
BECTORFOOD,Mrs Bectors
BEDMUTHA,Bedmutha Indus
BEL,Bharat Electron
BEML,BEML Ltd
BEPL,Bhansali Engg
BERGEPAINT,Berger Paints
BESTAGRO,Best Agrolife
BFINVEST,BF Investment
BFUTILITIE,BF Utilities
BGRENERGY,BGR Energy Sys
BHAGCHEM,Bhagiradha Chem
BHAGERIA,Bhageria Indust
BHAGYANGR,Bhagyanagar Ind
BHAGYAPROP,.Bhagya.. Prop.
BHANDARI,Bhandari Hosiery
BHARATFORG,Bharat Forge
BHARATGEAR,Bharat Gears
BHARATRAS,Bharat Rasayan
BHARATWIRE,Bharat Wire
BHARTIARTL,Bharti Airtel
BHEL,B H E L
BIGBLOC,BIGBLOC Const
BIL,Bhartiya Intl
BINDALAGRO,Oswal Green Tech
BIOCON,Biocon
BIOFILCHEM,Biofil Chemicals
BIRLACABLE,Birla Cable
BIRLACORPN,Birla Corpn
