Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,68.6,74.14,94.48,97.3,112.09,120.34,123.13,108.93,120.7,152.66,VETO
Raw Material Cost,49.59,56.75,69.17,68.48,74.68,81.36,89.3,90.8,82.6,109.78,VETO
Change in Inventory,2.11,5.63,0.69,3.98,4.63,-1.19,12.44,16.51,0.92,6.27,VETO
Power and Fuel,0.6,0.72,0.85,0.97,1.07,0.9,0.94,0.86,0.73,0.95,VETO
Other Mfr. Exp,1.0,1.16,4.08,4.38,5.37,1.13,1.3,1.3,1.3,1.21,VETO
Employee Cost,4.24,4.68,5.25,6.0,7.19,11.01,7.55,8.43,10.32,10.92,VETO
Selling and admin,3.94,4.87,4.32,5.23,7.44,7.93,7.21,9.57,9.62,12.11,VETO
Other Expenses,0.26,0.5,0.68,1.04,1.08,1.15,1.22,2.15,1.52,0.78,VETO
Other Income,0.1,0.04,0.87,0.54,-3.43,5.36,6.04,6.38,5.65,2.71,VETO
Depreciation,1.06,1.06,1.2,2.01,1.97,1.66,1.48,1.3,1.75,1.8,VETO
Interest,2.58,2.45,2.05,3.95,4.55,4.1,2.74,3.83,3.72,1.75,VETO
Profit before tax,7.54,7.62,8.44,9.76,9.94,15.27,29.87,13.58,15.71,22.34,VETO
Tax,0.32,1.74,2.34,2.61,2.29,2.98,9.83,4.25,4.65,6.23,VETO
Net profit,7.22,5.88,6.09,7.15,7.66,12.28,20.04,9.33,11.06,16.12,VETO
