Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2015-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,5176.77,5156.98,6297.23,7052.62,6793.24,5805.35,NUVOCO
Raw Material Cost,,,,,1115.65,1126.75,1304.72,1409.96,1291.38,965.02,NUVOCO
Change in Inventory,,,,,,-27.59,35.06,-34.71,,,NUVOCO
Power and Fuel,,,,,889.4,847.17,1037.93,,1225.63,1023.88,NUVOCO
Other Mfr. Exp,,,,,361.1,369.05,765.56,3811.31,2189.13,1818.52,NUVOCO
Employee Cost,,,,,270.78,289.97,319.66,381.13,404.61,403.8,NUVOCO
Selling and admin,,,,,1781.23,1720.78,1869.85,467.2,405.79,323.68,NUVOCO
Other Expenses,,,,,109.48,47.3,72.9,71.28,-0.54,163.1,NUVOCO
Other Income,,,,,147.92,11.46,81.07,79.54,56.6,96.38,NUVOCO
Depreciation,,,,,365.82,312.52,391.63,485.11,527.88,587.33,NUVOCO
Interest,,,,,143.94,231.17,425.41,452.17,419.21,516.91,NUVOCO
Profit before tax,,,,,287.29,196.14,225.7,19.29,386.75,99.49,NUVOCO
Tax,,,,,-212.15,30.47,67.58,43.09,137.5,76.71,NUVOCO
Net profit,,,,,499.44,165.67,158.12,-23.8,249.25,22.78,NUVOCO
