Report Date,Unnamed: 1,Unnamed: 2,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.5,0.5,0.5,20.0,75.55,75.55,75.55,75.55,SUNDARMHLD
Reserves,,,13.43,13.85,14.05,14.53,2204.33,1694.37,1165.01,1349.58,SUNDARMHLD
Borrowings,,,,,,,,,2.14,1.27,SUNDARMHLD
Other Liabilities,,,1.81,2.2,1.52,0.31,127.75,85.14,59.38,102.16,SUNDARMHLD
Total,,,15.74,16.55,16.07,34.84,2407.63,1855.06,1302.08,1528.56,SUNDARMHLD
Net Block,,,,,,,2.83,2.81,5.62,4.79,SUNDARMHLD
Capital Work in Progress,,,,,,,,,,,SUNDARMHLD
Investments,,,5.99,7.9,9.68,31.58,2397.69,1847.39,1289.31,1518.47,SUNDARMHLD
Other Assets,,,9.75,8.65,6.39,3.26,7.11,4.86,7.15,5.3,SUNDARMHLD
Total,,,15.74,16.55,16.07,34.84,2407.63,1855.06,1302.08,1528.56,SUNDARMHLD
Receivables,,,4.09,3.93,1.53,0.22,3.43,3.52,2.76,1.83,SUNDARMHLD
Inventory,,,,,,,,,,,SUNDARMHLD
Cash & Bank,,,0.13,1.46,0.77,0.07,1.87,0.21,1.66,0.56,SUNDARMHLD
No. of Equity Shares,,,500000.0,500000.0,500000.0,20000000.0,151103860.0,151103860.0,151103860.0,151103860.0,SUNDARMHLD
New Bonus Shares,,,,,,,,,,,SUNDARMHLD
Face value,,,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,SUNDARMHLD
