Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,6794.92,5865.22,7442.81,9515.74,8114.76,4299.69,LODHA
Raw Material Cost,,,,,,,,,,,LODHA
Change in Inventory,,,,,,,,,,,LODHA
Power and Fuel,,,,,,,,,,,LODHA
Other Mfr. Exp,,,,,4589.34,4137.01,5344.72,6151.55,5512.66,2955.69,LODHA
Employee Cost,,,,,414.01,399.01,577.27,213.71,280.09,256.51,LODHA
Selling and admin,,,,,371.55,353.06,448.4,227.14,477.12,345.27,LODHA
Other Expenses,,,,,-237.86,-148.1,-299.23,512.33,-64.5,-247.64,LODHA
Other Income,,,,,26.04,-15.47,551.35,18.44,-225.47,-313.71,LODHA
Depreciation,,,,,375.8,418.72,384.95,151.48,243.27,57.29,LODHA
Interest,,,,,200.69,169.36,697.21,414.42,785.72,822.51,LODHA
Profit before tax,,,,,1107.43,520.69,840.84,1863.55,654.93,-203.65,LODHA
Tax,,,,,418.99,199.98,320.08,651.36,221.92,-17.93,LODHA
Net profit,,,,,688.45,320.71,520.76,1212.19,433.01,-185.72,LODHA
