Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,245.12,371.03,1162.87,2336.35,1713.89,ZOMATO
Raw Material Cost,,,,,,,,,,,ZOMATO
Change in Inventory,,,,,,,,,,,ZOMATO
Power and Fuel,,,,,,1.74,2.15,2.69,5.29,0.77,ZOMATO
Other Mfr. Exp,,,,,,5.46,44.29,7.38,2104.69,593.18,ZOMATO
Employee Cost,,,,,,186.59,194.91,467.25,621.01,578.43,ZOMATO
Selling and admin,,,,,,81.43,173.9,1429.33,1704.71,790.11,ZOMATO
Other Expenses,,,,,,587.29,11.29,2622.61,107.33,85.54,ZOMATO
Other Income,,,,,,64.74,13.66,2507.62,-159.77,-415.07,ZOMATO
Depreciation,,,,,,17.93,12.51,23.19,73.6,128.87,ZOMATO
Interest,,,,,,14.68,24.13,58.51,11.13,7.93,ZOMATO
Profit before tax,,,,,,-585.26,-78.49,-940.47,-2451.18,-886.01,ZOMATO
Tax,,,,,,,,,,,ZOMATO
Net profit,,,,,,-585.26,-78.49,-940.47,-2451.18,-886.01,ZOMATO
