Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.05,0.05,22.22,22.22,22.22,22.22,22.22,22.22,SHYAMCENT
Reserves,,,,66.2,67.28,72.06,82.53,92.96,92.98,95.79,SHYAMCENT
Borrowings,,,,31.39,20.31,30.42,17.04,3.4,2.38,5.07,SHYAMCENT
Other Liabilities,,,,34.9,15.01,19.95,21.05,12.5,13.6,11.66,SHYAMCENT
Total,,,0.05,132.54,124.82,144.65,142.84,131.08,131.18,134.74,SHYAMCENT
Net Block,,,,25.14,22.28,20.32,22.17,19.94,17.79,16.04,SHYAMCENT
Capital Work in Progress,,,,,,,,,,,SHYAMCENT
Investments,,,,33.74,33.74,33.74,33.74,33.74,33.74,,SHYAMCENT
Other Assets,,,0.05,73.66,68.8,90.59,86.93,77.4,79.65,118.7,SHYAMCENT
Total,,,0.05,132.54,124.82,144.65,142.84,131.08,131.18,134.74,SHYAMCENT
Receivables,,,,12.27,13.96,26.94,33.04,27.92,38.44,22.08,SHYAMCENT
Inventory,,,,35.84,23.58,31.17,27.62,17.66,16.67,17.86,SHYAMCENT
Cash & Bank,,,,3.24,4.92,2.36,1.68,9.85,1.59,62.44,SHYAMCENT
No. of Equity Shares,,,500000.0,500000.0,222172990.0,222172990.0,222172990.0,222172990.0,222172990.0,222172990.0,SHYAMCENT
New Bonus Shares,,,,,,,,,,,SHYAMCENT
Face value,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SHYAMCENT
