Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,844.6,936.7,970.31,1060.78,1195.99,1227.22,1126.05,GREENLAM
Raw Material Cost,,,,508.96,516.63,550.23,595.31,702.59,695.43,595.73,GREENLAM
Change in Inventory,,,,-2.57,-1.19,13.62,9.87,15.96,29.76,-5.82,GREENLAM
Power and Fuel,,,,26.32,27.11,26.74,32.11,37.31,33.77,33.27,GREENLAM
Other Mfr. Exp,,,,13.98,18.91,17.36,15.3,15.69,16.58,15.7,GREENLAM
Employee Cost,,,,79.16,104.68,122.35,141.61,158.11,180.07,167.47,GREENLAM
Selling and admin,,,,97.69,115.18,135.23,145.56,122.46,133.29,108.12,GREENLAM
Other Expenses,,,0.01,23.94,29.28,8.11,4.15,37.17,36.12,35.89,GREENLAM
Other Income,,,,1.25,1.13,1.66,2.15,1.99,21.86,-9.13,GREENLAM
Depreciation,,,,30.19,31.51,33.4,33.12,34.04,48.98,51.79,GREENLAM
Interest,,,,27.51,28.35,25.45,15.98,15.46,20.3,16.03,GREENLAM
Profit before tax,,,-0.01,35.53,64.99,66.72,89.66,91.11,114.3,87.1,GREENLAM
Tax,,,,8.92,24.65,23.91,30.46,26.04,21.68,20.26,GREENLAM
Net profit,,,-0.01,26.62,40.34,42.81,59.2,65.08,92.63,66.85,GREENLAM
