Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,1.7,1.7,1.7,DATAPATTNS
Reserves,,,,,,,,131.19,151.8,206.07,DATAPATTNS
Borrowings,,,,,,,,60.14,60.57,33.23,DATAPATTNS
Other Liabilities,,,,,,,,84.4,81.29,87.37,DATAPATTNS
Total,,,,,,,,277.43,295.36,328.37,DATAPATTNS
Net Block,,,,,,,,36.44,33.35,32.98,DATAPATTNS
Capital Work in Progress,,,,,,,,,,,DATAPATTNS
Investments,,,,,,,,,,,DATAPATTNS
Other Assets,,,,,,,,240.99,262.01,295.39,DATAPATTNS
Total,,,,,,,,277.43,295.36,328.37,DATAPATTNS
Receivables,,,,,,,,102.94,115.63,155.94,DATAPATTNS
Inventory,,,,,,,,86.69,79.41,73.75,DATAPATTNS
Cash & Bank,,,,,,,,0.31,1.51,8.81,DATAPATTNS
No. of Equity Shares,,,,,,,,1699790.0,1699790.0,1699790.0,DATAPATTNS
New Bonus Shares,,,,,,,,,,,DATAPATTNS
Face value,,,,,,,,10.0,10.0,10.0,DATAPATTNS
