Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,867.56,1033.6,1154.96,1209.63,788.74,METROBRAND
Raw Material Cost,,,,,,443.37,489.25,587.64,518.0,316.27,METROBRAND
Change in Inventory,,,,,,26.59,31.29,70.92,-10.74,-35.54,METROBRAND
Power and Fuel,,,,,,16.67,16.86,18.46,20.04,14.64,METROBRAND
Other Mfr. Exp,,,,,,18.17,7.08,17.0,31.2,22.91,METROBRAND
Employee Cost,,,,,,75.25,89.41,101.89,113.14,97.17,METROBRAND
Selling and admin,,,,,,186.13,218.72,242.06,160.47,109.64,METROBRAND
Other Expenses,,,,,,8.53,27.59,29.33,13.04,12.01,METROBRAND
Other Income,,,,,,8.61,7.77,16.65,22.86,75.96,METROBRAND
Depreciation,,,,,,15.69,19.22,22.29,119.93,121.21,METROBRAND
Interest,,,,,,,,,38.85,44.17,METROBRAND
Profit before tax,,,,,,138.95,204.53,223.86,207.08,91.14,METROBRAND
Tax,,,,,,47.45,69.36,76.03,55.21,18.62,METROBRAND
Net profit,,,,,,91.5,135.17,147.84,151.88,72.52,METROBRAND
