Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2291.69,1722.03,1205.76,1355.16,1014.55,1428.23,2129.81,3040.25,2616.84,2225.08,MAHSEAMLES
Raw Material Cost,1597.08,1192.77,816.53,987.47,700.22,912.84,1445.44,2015.79,1599.59,1398.33,MAHSEAMLES
Change in Inventory,86.77,-12.87,-38.55,40.15,-39.33,-8.03,46.78,138.52,3.72,38.0,MAHSEAMLES
Power and Fuel,198.15,188.26,134.47,154.6,94.1,109.36,169.59,213.55,192.33,141.33,MAHSEAMLES
Other Mfr. Exp,90.1,79.23,50.29,63.44,66.28,86.73,146.51,152.39,150.64,134.05,MAHSEAMLES
Employee Cost,40.43,43.77,39.83,42.47,45.89,52.59,62.14,70.61,74.86,67.18,MAHSEAMLES
Selling and admin,49.08,33.06,31.32,34.04,28.4,34.15,41.71,58.35,46.89,68.56,MAHSEAMLES
Other Expenses,12.28,1.17,6.96,3.65,4.72,4.14,4.96,3.91,4.83,5.42,MAHSEAMLES
Other Income,76.49,69.5,63.21,82.81,94.64,85.01,67.3,-76.88,-399.3,-102.12,MAHSEAMLES
Depreciation,20.08,36.53,36.95,29.24,69.55,69.38,74.45,77.82,78.75,105.39,MAHSEAMLES
Interest,5.19,6.15,2.73,3.59,6.54,10.32,8.69,16.45,47.94,48.01,MAHSEAMLES
Profit before tax,442.56,197.72,111.34,159.62,54.16,225.7,290.4,493.02,25.43,192.69,MAHSEAMLES
Tax,131.83,44.4,14.23,37.06,22.68,80.19,91.97,230.65,46.11,51.09,MAHSEAMLES
Net profit,310.73,153.32,97.11,122.56,31.48,145.52,198.43,262.37,-20.68,141.59,MAHSEAMLES
