Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,2.64,2.33,6.14,12.29,13.02,18.11,32.28,20.81,10.06,TOUCHWOOD
Raw Material Cost,,,,,,,,,,,TOUCHWOOD
Change in Inventory,,,,,,,,,,,TOUCHWOOD
Power and Fuel,,,,0.03,0.07,0.09,0.24,0.28,0.04,0.04,TOUCHWOOD
Other Mfr. Exp,,,,0.07,0.08,0.03,0.08,17.87,8.39,2.84,TOUCHWOOD
Employee Cost,,,,0.88,1.17,1.46,2.43,2.92,4.06,2.3,TOUCHWOOD
Selling and admin,,,,4.89,10.89,3.77,4.88,6.71,5.45,2.57,TOUCHWOOD
Other Expenses,,2.96,2.33,0.04,0.04,5.94,7.44,0.02,0.05,0.27,TOUCHWOOD
Other Income,,,,0.07,0.48,0.37,-0.38,0.48,0.43,0.06,TOUCHWOOD
Depreciation,,,,0.11,0.14,0.33,0.45,0.63,0.61,0.62,TOUCHWOOD
Interest,,,,0.06,0.16,0.17,0.12,0.07,0.06,0.05,TOUCHWOOD
Profit before tax,,-0.32,,0.13,0.22,1.6,2.09,4.26,2.58,1.43,TOUCHWOOD
Tax,,,0.02,0.06,0.2,0.58,0.58,1.31,0.81,0.44,TOUCHWOOD
Net profit,,-0.32,-0.01,0.06,0.03,1.01,1.51,2.96,1.76,0.98,TOUCHWOOD
