Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.01,1.96,1.96,1.96,GLS
Reserves,,,,,,,-1.41,86.17,399.73,750.79,GLS
Borrowings,,,,,,,,0.02,0.02,,GLS
Other Liabilities,,,,,,,1.48,1387.24,1323.89,1244.32,GLS
Total,,,,,,,0.08,1475.39,1725.6,1997.07,GLS
Net Block,,,,,,,,456.31,546.25,572.8,GLS
Capital Work in Progress,,,,,,,,80.39,10.73,14.1,GLS
Investments,,,,,,,,0.08,0.08,0.08,GLS
Other Assets,,,,,,,0.08,938.61,1168.54,1410.09,GLS
Total,,,,,,,0.08,1475.39,1725.6,1997.07,GLS
Receivables,,,,,,,0.03,448.09,638.63,619.5,GLS
Inventory,,,,,,,0.04,400.84,412.78,513.42,GLS
Cash & Bank,,,,,,,0.01,2.06,10.0,115.6,GLS
No. of Equity Shares,,,,,,,10000.0,1960090.0,1960090.0,9800450.0,GLS
New Bonus Shares,,,,,,,,,,,GLS
Face value,,,,,,,10.0,10.0,10.0,2.0,GLS
