Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,81.12,101.94,127.91,138.82,187.94,SIGACHI
Raw Material Cost,,,,,,39.43,60.12,69.78,74.28,92.31,SIGACHI
Change in Inventory,,,,,,0.52,0.3,3.75,1.15,-6.71,SIGACHI
Power and Fuel,,,,,,2.97,3.11,3.26,3.43,3.49,SIGACHI
Other Mfr. Exp,,,,,,9.12,8.34,10.19,11.47,14.75,SIGACHI
Employee Cost,,,,,,13.25,8.71,12.13,14.85,16.84,SIGACHI
Selling and admin,,,,,,7.0,8.5,9.2,10.97,16.08,SIGACHI
Other Expenses,,,,,,0.69,0.98,0.57,0.27,0.42,SIGACHI
Other Income,,,,,,0.62,3.03,3.85,4.89,3.25,SIGACHI
Depreciation,,,,,,1.3,1.39,1.67,1.96,2.31,SIGACHI
Interest,,,,,,4.33,3.7,3.32,2.18,1.16,SIGACHI
Profit before tax,,,,,,4.17,10.42,25.39,25.45,37.12,SIGACHI
Tax,,,,,,1.37,2.68,5.72,5.02,8.06,SIGACHI
Net profit,,,,,,2.81,7.74,19.68,20.42,29.06,SIGACHI
