Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,680.81,717.28,739.16,916.16,951.94,MAGADSUGAR
Raw Material Cost,,,,,,485.36,603.37,719.73,747.68,601.22,MAGADSUGAR
Change in Inventory,,,,,,49.77,46.09,198.58,125.28,-111.05,MAGADSUGAR
Power and Fuel,,,,,,2.65,3.68,3.26,5.72,4.19,MAGADSUGAR
Other Mfr. Exp,,,,,,28.03,34.82,44.11,50.33,42.38,MAGADSUGAR
Employee Cost,,,,,,38.75,41.33,45.09,48.91,48.35,MAGADSUGAR
Selling and admin,,,,,0.01,7.48,7.91,15.93,18.07,17.56,MAGADSUGAR
Other Expenses,,,,,,7.93,8.57,8.37,15.93,12.2,MAGADSUGAR
Other Income,,,,,,1.81,8.49,5.76,19.19,1.82,MAGADSUGAR
Depreciation,,,,,,19.86,18.68,17.73,18.02,19.19,MAGADSUGAR
Interest,,,,,,40.69,43.34,35.41,48.33,55.31,MAGADSUGAR
Profit before tax,,,,,-0.01,101.64,10.16,53.87,107.64,42.31,MAGADSUGAR
Tax,,,,,,43.79,-14.75,19.65,24.6,15.23,MAGADSUGAR
Net profit,,,,,-0.01,57.84,24.91,34.22,83.04,27.08,MAGADSUGAR
