Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,1346.96,1386.42,1433.3,1140.84,GRSE
Raw Material Cost,,,,,,,257.87,772.44,128.05,178.24,GRSE
Change in Inventory,,,,,,,-1.81,9.15,24.2,-11.33,GRSE
Power and Fuel,,,,,,,9.69,8.71,8.45,6.3,GRSE
Other Mfr. Exp,,,,,,,692.98,199.99,874.5,504.4,GRSE
Employee Cost,,,,,,,298.6,291.47,296.94,269.38,GRSE
Selling and admin,,,,,,,89.15,61.47,93.76,61.87,GRSE
Other Expenses,,,,,,,11.69,19.39,13.85,27.99,GRSE
Other Income,,,,,,,179.23,169.05,214.89,166.85,GRSE
Depreciation,,,,,,,28.96,27.08,30.09,29.09,GRSE
Interest,,,,,,,7.69,5.11,2.88,11.97,GRSE
Profit before tax,,,,,,,127.75,178.96,223.87,207.12,GRSE
Tax,,,,,,,35.35,69.02,60.39,53.65,GRSE
Net profit,,,,,,,92.4,109.94,163.48,153.47,GRSE
