Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,2.39,2.24,2.16,9.42,9.52,61.11,68.31,MEDPLUS
Raw Material Cost,,,,,,,,,42.8,49.85,MEDPLUS
Change in Inventory,,,,,,,,,-0.73,0.66,MEDPLUS
Power and Fuel,,,,0.13,0.11,0.06,0.07,0.06,0.06,0.18,MEDPLUS
Other Mfr. Exp,,,,0.96,0.92,0.86,0.95,1.21,1.45,1.15,MEDPLUS
Employee Cost,,,,2.76,2.79,1.66,5.22,4.83,6.91,22.58,MEDPLUS
Selling and admin,,,,1.79,3.05,1.12,7.86,6.86,1.94,3.75,MEDPLUS
Other Expenses,,,,0.03,0.4,0.39,0.19,0.03,32.4,0.25,MEDPLUS
Other Income,,,,-0.58,1.01,0.37,1.26,1.03,1.92,2.11,MEDPLUS
Depreciation,,,,0.29,0.29,0.39,0.16,0.13,0.84,1.32,MEDPLUS
Interest,,,,1.05,,,12.4,,0.27,0.57,MEDPLUS
Profit before tax,,,,-5.2,-4.31,-1.95,-16.17,-2.57,-24.37,-8.57,MEDPLUS
Tax,,,,,,,,,0.51,,MEDPLUS
Net profit,,,,-5.2,-4.3,-1.95,-16.16,-2.57,-24.87,-8.57,MEDPLUS
