Report Date,Unnamed: 1,Unnamed: 2,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,21.42,48.53,78.41,105.45,105.18,115.35,124.51,143.36,LATENTVIEW
Raw Material Cost,,,,,,,,,,,LATENTVIEW
Change in Inventory,,,,,,,,,,,LATENTVIEW
Power and Fuel,,,,,0.74,0.65,0.66,0.62,0.59,0.28,LATENTVIEW
Other Mfr. Exp,,,,,0.23,0.28,0.19,0.35,0.37,0.21,LATENTVIEW
Employee Cost,,,,,38.5,38.7,36.04,51.28,58.09,60.69,LATENTVIEW
Selling and admin,,,,,16.73,15.75,12.9,14.41,9.86,6.8,LATENTVIEW
Other Expenses,,,15.25,34.84,0.82,1.53,1.57,2.01,2.06,3.28,LATENTVIEW
Other Income,,,,,1.39,0.97,5.96,11.02,16.37,20.81,LATENTVIEW
Depreciation,,,,,2.57,2.8,2.54,2.51,5.74,5.95,LATENTVIEW
Interest,,,,,0.6,0.43,0.57,0.07,2.81,2.54,LATENTVIEW
Profit before tax,,,6.17,13.69,19.61,46.28,56.67,55.12,61.36,84.42,LATENTVIEW
Tax,,,,,2.41,-0.11,2.34,7.29,10.29,16.51,LATENTVIEW
Net profit,,,6.17,13.69,17.2,46.39,54.32,47.83,51.07,67.92,LATENTVIEW
