Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,41.68,41.68,43.11,50.24,52.79,SAPPHIRE
Reserves,,,,,,532.75,497.36,460.28,504.24,462.13,SAPPHIRE
Borrowings,,,,,,,20.0,72.17,553.95,569.92,SAPPHIRE
Other Liabilities,,,,,,135.34,155.93,385.73,158.76,169.72,SAPPHIRE
Total,,,,,,709.77,714.97,961.29,1267.19,1254.56,SAPPHIRE
Net Block,,,,,,415.14,454.18,519.16,918.63,871.0,SAPPHIRE
Capital Work in Progress,,,,,,3.53,13.79,17.28,18.81,25.16,SAPPHIRE
Investments,,,,,,89.65,90.39,99.23,171.86,187.34,SAPPHIRE
Other Assets,,,,,,201.45,156.61,325.62,157.89,171.06,SAPPHIRE
Total,,,,,,709.77,714.97,961.29,1267.19,1254.56,SAPPHIRE
Receivables,,,,,,2.99,4.46,20.13,3.66,5.98,SAPPHIRE
Inventory,,,,,,10.26,24.2,25.84,35.68,33.55,SAPPHIRE
Cash & Bank,,,,,,106.65,30.82,182.72,33.84,36.13,SAPPHIRE
No. of Equity Shares,,,,,,41675367.0,41675367.0,43107874.0,50243960.0,52790409.0,SAPPHIRE
New Bonus Shares,,,,,,,,,,,SAPPHIRE
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,SAPPHIRE
