Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,0.25,886.42,1537.31,1885.17,GLS
Raw Material Cost,,,,,,,0.04,633.56,668.66,948.17,GLS
Change in Inventory,,,,,,,-0.05,301.59,4.64,70.7,GLS
Power and Fuel,,,,,,,,57.81,76.75,74.19,GLS
Other Mfr. Exp,,,,,,,,77.09,108.04,107.32,GLS
Employee Cost,,,,,,,0.15,106.28,142.28,149.13,GLS
Selling and admin,,,,,,,,44.2,42.05,48.21,GLS
Other Expenses,,,,,,,0.02,20.71,30.97,37.19,GLS
Other Income,,,,,,,,-0.19,10.76,0.23,GLS
Depreciation,,,,,,,,19.26,29.37,33.39,GLS
Interest,,,,,,,,0.61,33.52,87.55,GLS
Profit before tax,,,,,,,-0.01,228.3,421.07,470.95,GLS
Tax,,,,,,,0.42,32.71,107.97,119.37,GLS
Net profit,,,,,,,-0.43,195.59,313.1,351.58,GLS
