Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,484.94,535.73,628.24,706.91,789.97,932.69,KIMS
Raw Material Cost,,,,,118.79,130.08,152.1,,182.59,195.96,KIMS
Change in Inventory,,,,,,,,-166.64,2.74,-5.23,KIMS
Power and Fuel,,,,,12.92,13.4,15.75,14.42,14.63,14.48,KIMS
Other Mfr. Exp,,,,,115.19,132.28,22.33,188.09,216.53,232.8,KIMS
Employee Cost,,,,,75.93,91.15,115.1,127.09,137.09,147.3,KIMS
Selling and admin,,,,,49.68,48.24,19.8,33.36,24.2,18.28,KIMS
Other Expenses,,,,,7.95,6.39,237.21,122.7,11.42,9.9,KIMS
Other Income,,,,,4.43,2.88,3.11,6.32,6.68,8.45,KIMS
Depreciation,,,,,34.23,33.77,38.11,40.97,42.66,44.6,KIMS
Interest,,,,,36.24,32.03,87.73,33.38,23.76,18.33,KIMS
Profit before tax,,,,,38.44,51.27,-56.78,-13.42,146.51,254.26,KIMS
Tax,,,,,14.15,18.73,24.48,30.24,25.4,65.61,KIMS
Net profit,,,,,24.3,32.54,-81.26,-43.66,121.11,188.65,KIMS
