Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,835.97,1039.26,1171.78,1373.57,1261.56,1351.34,SANSERA
Raw Material Cost,,,,,349.03,412.52,478.54,607.69,541.74,587.71,SANSERA
Change in Inventory,,,,,,,20.13,18.83,3.06,5.39,SANSERA
Power and Fuel,,,,,30.92,47.77,61.49,66.87,63.4,56.0,SANSERA
Other Mfr. Exp,,,,,82.66,102.14,111.02,194.24,132.42,132.95,SANSERA
Employee Cost,,,,,136.08,174.04,193.31,167.31,170.04,169.24,SANSERA
Selling and admin,,,,,24.44,35.21,35.31,38.36,31.9,36.37,SANSERA
Other Expenses,,,,,70.77,104.01,76.64,49.39,120.37,129.27,SANSERA
Other Income,,,,,12.29,6.32,13.38,17.28,18.27,16.85,SANSERA
Depreciation,,,,,31.46,44.45,53.87,61.84,81.35,88.35,SANSERA
Interest,,,,,28.86,29.83,39.62,45.69,51.21,41.19,SANSERA
Profit before tax,,,,,94.04,95.61,155.49,178.29,90.46,132.5,SANSERA
Tax,,,,,22.27,31.91,52.6,66.11,8.29,34.63,SANSERA
Net profit,,,,,71.76,63.7,102.89,112.18,82.17,97.88,SANSERA
