Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,125.35,125.35,125.36,125.4,125.46,125.54,CROMPTON
Reserves,,,,-1.87,103.37,392.4,664.14,973.08,1342.34,1793.45,CROMPTON
Borrowings,,,,,644.45,647.84,648.55,649.26,349.72,478.79,CROMPTON
Other Liabilities,,,,2.86,779.88,947.71,986.94,922.06,926.52,1166.08,CROMPTON
Total,,,,1.04,1653.05,2113.3,2424.99,2669.8,2744.04,3563.86,CROMPTON
Net Block,,,,,858.01,861.51,861.58,863.15,908.97,914.99,CROMPTON
Capital Work in Progress,,,,,0.07,0.05,0.61,0.98,19.9,10.86,CROMPTON
Investments,,,,,,318.87,367.58,544.18,553.78,775.27,CROMPTON
Other Assets,,,,1.04,794.97,932.87,1195.22,1261.49,1261.39,1862.74,CROMPTON
Total,,,,1.04,1653.05,2113.3,2424.99,2669.8,2744.04,3563.86,CROMPTON
Receivables,,,,,416.51,472.82,553.64,565.98,458.71,482.74,CROMPTON
Inventory,,,,,209.98,273.35,303.24,352.38,463.61,517.77,CROMPTON
Cash & Bank,,,,0.05,90.0,69.74,177.38,142.41,47.06,594.52,CROMPTON
No. of Equity Shares,,,,250000.0,626746142.0,626746142.0,626785105.0,626985920.0,627283972.0,627691353.0,CROMPTON
New Bonus Shares,,,,,,,,,,,CROMPTON
Face value,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,CROMPTON
