Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,198.75,243.52,169.54,167.26,202.12,LASA
Raw Material Cost,,,,,,141.67,172.06,126.21,87.01,102.11,LASA
Change in Inventory,,,,,,10.78,0.55,-1.74,-7.65,-10.24,LASA
Power and Fuel,,,,,,6.03,6.64,6.71,7.92,8.06,LASA
Other Mfr. Exp,,,,,,3.66,7.44,6.05,7.95,9.94,LASA
Employee Cost,,,,,,9.55,10.27,11.74,13.42,14.01,LASA
Selling and admin,,,,,,2.24,4.45,4.65,6.54,8.87,LASA
Other Expenses,,,,,,0.83,1.87,1.32,6.59,1.56,LASA
Other Income,,,,,,-24.04,3.41,0.47,0.02,0.05,LASA
Depreciation,,,,,,7.69,18.17,19.31,17.34,15.82,LASA
Interest,,,,,,11.68,11.35,8.38,8.12,2.06,LASA
Profit before tax,,,,,,2.14,15.23,-16.1,4.74,29.5,LASA
Tax,,,,,,-0.22,2.89,-4.07,1.11,6.72,LASA
Net profit,,,,,,2.36,12.34,-12.03,3.63,22.78,LASA
