Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,131.16,202.9,253.84,291.19,TATVA
Raw Material Cost,,,,,,,74.1,118.29,146.16,150.91,TATVA
Change in Inventory,,,,,,,4.03,3.11,16.03,5.2,TATVA
Power and Fuel,,,,,,,4.65,6.25,8.96,9.92,TATVA
Other Mfr. Exp,,,,,,,7.57,8.02,15.3,18.8,TATVA
Employee Cost,,,,,,,12.27,16.31,20.53,24.13,TATVA
Selling and admin,,,,,,,14.08,21.99,24.31,25.88,TATVA
Other Expenses,,,,,,,0.92,1.96,1.88,1.33,TATVA
Other Income,,,,,,,1.71,1.19,0.53,5.07,TATVA
Depreciation,,,,,,,2.95,4.02,4.79,6.73,TATVA
Interest,,,,,,,2.61,3.94,4.25,4.41,TATVA
Profit before tax,,,,,,,17.75,26.42,44.22,59.35,TATVA
Tax,,,,,,,6.71,6.24,9.26,7.99,TATVA
Net profit,,,,,,,11.04,20.19,34.96,51.36,TATVA
