Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,1182.01,1409.98,1537.27,1598.24,1987.62,1836.9,DODLA
Raw Material Cost,,,,,881.59,1097.62,1240.71,1187.01,1502.87,1312.39,DODLA
Change in Inventory,,,,,-28.99,-19.91,41.71,-14.82,-57.43,14.83,DODLA
Power and Fuel,,,,,17.59,22.49,26.58,28.4,34.65,34.1,DODLA
Other Mfr. Exp,,,,,53.71,12.44,16.82,72.94,62.31,79.34,DODLA
Employee Cost,,,,,45.7,52.2,61.31,71.45,84.37,81.65,DODLA
Selling and admin,,,,,48.96,114.98,123.31,104.99,134.95,121.09,DODLA
Other Expenses,,,,,10.21,3.88,4.97,2.36,11.9,4.97,DODLA
Other Income,,,,,7.49,7.52,5.52,7.11,11.9,7.35,DODLA
Depreciation,,,,,15.87,17.75,25.28,33.59,46.34,47.35,DODLA
Interest,,,,,12.82,8.03,10.27,11.13,16.84,12.71,DODLA
Profit before tax,,,,,74.06,68.2,75.25,78.66,47.86,165.48,DODLA
Tax,,,,,38.48,22.32,24.69,26.28,19.4,57.08,DODLA
Net profit,,,,,35.58,45.88,50.57,52.38,28.47,108.39,DODLA
