Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,13.56,14.24,14.55,15.06,NYKAA
Reserves,,,,,,,95.09,279.08,404.1,545.76,NYKAA
Borrowings,,,,,,,8.25,30.23,44.97,45.73,NYKAA
Other Liabilities,,,,,,,48.04,30.06,34.45,40.09,NYKAA
Total,,,,,,,164.94,353.61,498.07,646.64,NYKAA
Net Block,,,,,,,6.34,13.51,17.51,12.9,NYKAA
Capital Work in Progress,,,,,,,,,0.68,,NYKAA
Investments,,,,,,,21.93,169.29,52.49,69.58,NYKAA
Other Assets,,,,,,,136.67,170.81,427.39,564.16,NYKAA
Total,,,,,,,164.94,353.61,498.07,646.64,NYKAA
Receivables,,,,,,,1.6,7.11,25.51,63.72,NYKAA
Inventory,,,,,,,8.47,22.75,46.34,33.22,NYKAA
Cash & Bank,,,,,,,35.49,4.41,169.18,192.3,NYKAA
No. of Equity Shares,,,,,,,13555681.0,14242509.0,14549077.0,15057237.0,NYKAA
New Bonus Shares,,,,,,,,,,,NYKAA
Face value,,,,,,,10.0,10.0,10.0,10.0,NYKAA
