Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,11.48,11.72,14.79,15.59,15.95,16.9,17.44,17.58,IIFLWAM
Reserves,,,89.34,159.9,1124.57,1257.81,1385.15,2203.23,2308.6,2412.14,IIFLWAM
Borrowings,,,15.31,237.11,140.88,397.82,396.9,414.01,,233.73,IIFLWAM
Other Liabilities,,,47.77,93.44,70.14,289.78,474.5,35.75,196.28,42.17,IIFLWAM
Total,,,163.9,502.17,1350.38,1961.0,2272.5,2669.89,2522.32,2705.62,IIFLWAM
Net Block,,,1.14,6.39,11.88,23.39,27.1,61.35,287.63,278.58,IIFLWAM
Capital Work in Progress,,,1.43,0.28,1.54,3.41,21.08,172.55,1.03,0.68,IIFLWAM
Investments,,,44.05,133.34,1174.33,1114.39,1243.13,2140.44,1984.03,2042.23,IIFLWAM
Other Assets,,,117.28,362.16,162.63,819.81,981.19,295.55,249.63,384.13,IIFLWAM
Total,,,163.9,502.17,1350.38,1961.0,2272.5,2669.89,2522.32,2705.62,IIFLWAM
Receivables,,,51.11,30.99,54.86,197.08,141.34,198.98,72.36,58.82,IIFLWAM
Inventory,,,46.57,213.83,,,,,,,IIFLWAM
Cash & Bank,,,0.39,84.53,90.3,356.89,502.41,6.68,23.56,138.42,IIFLWAM
No. of Equity Shares,,,57422500.0,58618620.0,73958658.0,77963764.0,79753463.0,84521324.0,87181042.0,87882770.0,IIFLWAM
New Bonus Shares,,,,,,,,,,,IIFLWAM
Face value,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,IIFLWAM
