Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,365.33,503.3,608.86,699.22,538.69,767.17,SONACOMS
Raw Material Cost,,,,,155.34,197.47,186.04,192.84,149.23,238.1,SONACOMS
Change in Inventory,,,,,5.17,11.57,8.47,-12.22,-3.7,26.88,SONACOMS
Power and Fuel,,,,,21.99,23.9,32.0,39.32,27.97,34.16,SONACOMS
Other Mfr. Exp,,,,,27.3,39.15,107.27,159.46,123.13,185.78,SONACOMS
Employee Cost,,,,,33.42,44.43,60.94,48.2,50.68,64.64,SONACOMS
Selling and admin,,,,,38.68,45.7,64.68,46.76,29.64,28.05,SONACOMS
Other Expenses,,,,,22.14,59.09,2.39,2.39,3.74,3.09,SONACOMS
Other Income,,,,,-37.9,2.06,6.99,2.91,0.45,62.51,SONACOMS
Depreciation,,,,,17.25,17.18,22.34,29.35,34.22,46.81,SONACOMS
Interest,,,,,18.13,19.42,18.1,16.02,23.18,29.01,SONACOMS
Profit before tax,,,,,-1.65,70.59,130.56,155.57,93.65,226.92,SONACOMS
Tax,,,,,14.32,25.72,44.58,55.0,9.57,38.88,SONACOMS
Net profit,,,,,-15.96,44.87,85.99,100.57,84.08,188.04,SONACOMS
