Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,43.35,52.11,113.0,120.39,151.75,173.57,166.9,69.93,SUPREMEENG
Raw Material Cost,,,,,104.69,129.16,128.97,150.32,130.25,35.36,SUPREMEENG
Change in Inventory,,,,,4.43,24.12,4.15,4.46,-8.64,-19.02,SUPREMEENG
Power and Fuel,,,,,,,2.31,2.46,2.38,2.45,SUPREMEENG
Other Mfr. Exp,,,,,0.08,0.09,3.07,2.24,3.21,1.63,SUPREMEENG
Employee Cost,,,,,1.32,1.52,1.76,3.13,2.54,2.29,SUPREMEENG
Selling and admin,,,,,1.73,1.82,2.04,2.36,2.3,1.67,SUPREMEENG
Other Expenses,,,41.06,51.0,-0.02,0.02,0.2,0.24,1.06,1.35,SUPREMEENG
Other Income,,,,,0.59,0.46,0.55,1.16,1.04,3.01,SUPREMEENG
Depreciation,,,,,1.32,1.86,1.67,1.89,2.7,2.53,SUPREMEENG
Interest,,,,,7.47,7.68,9.22,7.53,9.94,9.77,SUPREMEENG
Profit before tax,,,2.29,1.11,1.43,2.82,7.21,9.02,4.92,-3.13,SUPREMEENG
Tax,,,1.28,1.62,0.31,0.67,2.21,2.26,1.2,-0.17,SUPREMEENG
Net profit,,,1.01,-0.51,1.12,2.15,5.01,6.76,3.71,-2.95,SUPREMEENG
