Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,18.37,18.16,17.86,17.86,17.86,17.86,17.52,17.52,17.1,16.88,FDC
Reserves,669.67,761.54,822.63,911.72,1058.67,1245.86,1244.88,1415.52,1524.72,1705.28,FDC
Borrowings,1.72,1.45,1.25,1.07,0.9,0.79,0.69,0.6,15.08,14.04,FDC
Other Liabilities,161.35,177.45,209.45,208.9,181.15,194.96,224.42,191.83,248.69,206.77,FDC
Total,851.11,958.6,1051.19,1139.55,1258.58,1459.47,1487.51,1625.47,1805.59,1942.97,FDC
Net Block,280.02,276.55,272.13,381.37,670.89,674.5,669.75,678.47,669.77,685.02,FDC
Capital Work in Progress,10.72,7.22,18.1,28.8,19.92,6.32,12.84,12.38,23.85,19.21,FDC
Investments,346.51,422.45,423.22,495.6,325.17,491.35,471.56,585.25,664.78,790.42,FDC
Other Assets,213.86,252.38,337.74,233.78,242.6,287.3,333.36,349.37,447.19,448.32,FDC
Total,851.11,958.6,1051.19,1139.55,1258.58,1459.47,1487.51,1625.47,1805.59,1942.97,FDC
Receivables,40.69,44.76,60.82,60.7,64.03,77.46,76.71,83.52,124.19,107.8,FDC
Inventory,101.03,97.45,100.59,121.53,130.24,136.22,159.65,172.73,209.49,213.27,FDC
Cash & Bank,13.42,34.9,21.25,11.66,13.5,23.02,21.12,15.7,28.96,26.86,FDC
No. of Equity Shares,186065427.0,183977955.0,180978084.0,180978084.0,180978084.0,180978084.0,177548000.0,177548000.0,170973084.0,168810084.0,FDC
New Bonus Shares,,,,,,,,,,,FDC
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FDC
