Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,25.43,25.43,MOL
Reserves,,,,,,,,,956.61,1141.83,MOL
Borrowings,,,,,,,,,263.87,261.93,MOL
Other Liabilities,,,,,,,,,406.48,537.94,MOL
Total,,,,,,,,,1652.39,1967.13,MOL
Net Block,,,,,,,,,480.51,633.35,MOL
Capital Work in Progress,,,,,,,,,100.76,112.19,MOL
Investments,,,,,,,,,192.23,305.96,MOL
Other Assets,,,,,,,,,878.89,915.63,MOL
Total,,,,,,,,,1652.39,1967.13,MOL
Receivables,,,,,,,,,463.55,405.87,MOL
Inventory,,,,,,,,,296.18,373.24,MOL
Cash & Bank,,,,,,,,,8.33,21.11,MOL
No. of Equity Shares,,,,,,,,,254314211.0,254314211.0,MOL
New Bonus Shares,,,,,,,,,,,MOL
Face value,,,,,,,,,1.0,1.0,MOL
