Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2010-03-31 00:00:00,2011-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,101.38,132.32,322.39,380.29,462.41,483.89,418.67,SHALBY
Raw Material Cost,,,,0.86,1.21,5.76,8.24,9.25,11.26,6.85,SHALBY
Change in Inventory,,,,,,0.47,0.72,0.51,-0.43,-0.52,SHALBY
Power and Fuel,,,,1.48,1.82,7.4,9.33,12.64,12.95,12.31,SHALBY
Other Mfr. Exp,,,,68.61,87.63,180.62,214.88,271.27,280.06,235.77,SHALBY
Employee Cost,,,,7.29,9.03,37.69,44.8,64.35,65.25,55.74,SHALBY
Selling and admin,,,,10.05,6.94,17.1,20.35,19.41,20.83,13.2,SHALBY
Other Expenses,,,,0.45,0.43,1.65,3.51,2.47,10.55,7.24,SHALBY
Other Income,,,,1.47,0.9,6.04,9.63,9.37,17.74,9.62,SHALBY
Depreciation,,,,5.49,5.23,16.01,22.43,33.0,35.86,36.67,SHALBY
Interest,,,,0.57,0.35,10.65,12.14,9.17,7.41,4.5,SHALBY
Profit before tax,,,,8.05,20.58,52.02,54.96,50.73,57.03,55.49,SHALBY
Tax,,,,2.2,6.96,21.66,14.49,18.63,29.06,12.61,SHALBY
Net profit,,,,5.85,13.61,30.36,40.47,32.1,27.97,42.88,SHALBY
