Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.5,0.5,0.5,0.6,0.6,9.81,9.81,9.81,10.0,MACPOWER
Reserves,,1.66,2.39,1.37,2.26,3.02,43.47,55.76,56.64,62.47,MACPOWER
Borrowings,,0.92,1.1,7.84,4.21,4.01,0.46,0.25,0.84,0.22,MACPOWER
Other Liabilities,,14.67,12.09,17.01,17.93,24.9,40.95,43.36,30.53,61.68,MACPOWER
Total,,17.75,16.08,26.72,25.0,32.53,94.69,109.18,97.82,134.37,MACPOWER
Net Block,,4.63,4.52,3.48,2.82,2.95,4.53,5.93,35.91,37.48,MACPOWER
Capital Work in Progress,,,,,,,0.06,5.52,0.76,1.27,MACPOWER
Investments,,5.49,4.49,1.09,0.01,,7.51,1.0,1.25,19.66,MACPOWER
Other Assets,,7.63,7.07,22.15,22.17,29.58,82.59,96.73,59.9,75.96,MACPOWER
Total,,17.75,16.08,26.72,25.0,32.53,94.69,109.18,97.82,134.37,MACPOWER
Receivables,,0.82,0.52,2.35,3.29,10.38,4.16,8.66,3.26,3.82,MACPOWER
Inventory,,5.76,5.23,16.23,10.09,17.31,27.68,47.37,46.22,60.93,MACPOWER
Cash & Bank,,0.41,0.54,0.56,6.23,0.06,39.16,27.88,5.87,5.04,MACPOWER
No. of Equity Shares,,500000.0,500000.0,500000.0,600000.0,600000.0,9808000.0,9808000.0,9808000.0,10004160.0,MACPOWER
New Bonus Shares,,,,,,,,,,,MACPOWER
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MACPOWER
