Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,7.82,68.66,170.86,341.16,430.77,443.65,590.36,698.21,760.96,HAPPSTMNDS
Raw Material Cost,,,,,,,1.39,,,,HAPPSTMNDS
Change in Inventory,,,,,,,,,,,HAPPSTMNDS
Power and Fuel,,,,,2.21,2.94,4.29,3.91,4.49,1.84,HAPPSTMNDS
Other Mfr. Exp,,,,,2.68,4.6,4.8,67.08,81.23,74.84,HAPPSTMNDS
Employee Cost,,,,,240.08,309.53,344.82,381.42,441.32,450.92,HAPPSTMNDS
Selling and admin,,,,,58.34,110.15,102.42,56.09,63.64,32.32,HAPPSTMNDS
Other Expenses,,36.89,119.97,239.38,44.98,2.75,2.8,22.99,8.7,10.89,HAPPSTMNDS
Other Income,,,6.18,7.11,18.94,15.05,16.58,-18.63,4.72,23.42,HAPPSTMNDS
Depreciation,,0.27,1.87,4.02,5.06,5.96,6.87,20.24,20.23,20.63,HAPPSTMNDS
Interest,,,0.22,0.82,1.3,2.48,5.92,15.89,7.99,6.92,HAPPSTMNDS
Profit before tax,,-29.34,-47.22,-66.25,5.45,7.41,-13.08,4.11,75.33,186.02,HAPPSTMNDS
Tax,,,,,,3.17,,,1.9,24.09,HAPPSTMNDS
Net profit,,-29.34,-47.23,-66.25,5.45,4.24,-13.08,4.11,73.43,161.93,HAPPSTMNDS
