Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,471.7,137.36,BIRLATYRE
Raw Material Cost,,,,,,,,,279.24,71.1,BIRLATYRE
Change in Inventory,,,,,,,,,-38.5,-19.62,BIRLATYRE
Power and Fuel,,,,,,,,,34.27,17.74,BIRLATYRE
Other Mfr. Exp,,,,,,,,,35.28,8.69,BIRLATYRE
Employee Cost,,,,,,,,,121.5,88.92,BIRLATYRE
Selling and admin,,,,,,,,0.01,62.42,30.15,BIRLATYRE
Other Expenses,,,,,,,,,63.19,9.21,BIRLATYRE
Other Income,,,,,,,,,65.83,16.09,BIRLATYRE
Depreciation,,,,,,,,,38.06,33.29,BIRLATYRE
Interest,,,,,,,,,151.74,162.36,BIRLATYRE
Profit before tax,,,,,,,,-0.01,-286.67,-287.63,BIRLATYRE
Tax,,,,,,,,,,,BIRLATYRE
Net profit,,,,,,,,-0.01,-286.67,-287.63,BIRLATYRE
