Report Date,Unnamed: 1,2012-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,247.01,288.29,313.83,305.68,345.57,431.44,253.93,285.72,GENUSPAPER
Raw Material Cost,,,178.18,208.37,228.55,226.55,238.94,283.43,160.52,189.44,GENUSPAPER
Change in Inventory,,,2.8,0.29,-9.07,5.81,4.69,-5.79,1.45,0.07,GENUSPAPER
Power and Fuel,,,38.0,43.46,37.22,32.5,38.53,66.76,35.78,32.39,GENUSPAPER
Other Mfr. Exp,,,6.89,1.08,1.35,9.71,10.91,13.26,7.03,10.07,GENUSPAPER
Employee Cost,,,3.74,5.3,6.0,10.34,12.69,15.17,12.94,12.03,GENUSPAPER
Selling and admin,,,3.96,4.42,7.24,10.26,12.68,16.1,11.48,14.89,GENUSPAPER
Other Expenses,,,-0.43,-0.3,-1.67,0.38,0.32,0.67,0.47,1.15,GENUSPAPER
Other Income,,,6.65,4.41,0.75,6.04,5.36,2.2,,0.94,GENUSPAPER
Depreciation,,,7.28,10.18,11.75,12.4,12.92,13.03,13.32,12.71,GENUSPAPER
Interest,,,5.68,6.19,6.36,5.92,6.08,7.68,5.27,3.91,GENUSPAPER
Profit before tax,,,13.16,14.29,8.71,9.47,22.55,11.75,8.57,10.14,GENUSPAPER
Tax,,,2.87,4.68,3.96,2.42,7.61,3.92,-0.33,2.45,GENUSPAPER
Net profit,,,10.3,9.6,4.75,7.04,14.94,7.83,8.91,7.69,GENUSPAPER
