Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,2020-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,,0.99,CTE
Reserves,,,,,,,,,,,CTE
Borrowings,,,,,,,,,,,CTE
Other Liabilities,,,,,,,,,,,CTE
Total,,,,,,,,,,,CTE
Net Block,,,,,,,,,,,CTE
Capital Work in Progress,,,,,,,,,,,CTE
Investments,,,,,,,,,,,CTE
Other Assets,,,,,,,,,,,CTE
Total,,,,,,,,,,,CTE
Receivables,,,,,,,,,,,CTE
Inventory,,,,,,,,,,,CTE
Cash & Bank,,,,,,,,,,,CTE
No. of Equity Shares,,,,,,,,,,,CTE
New Bonus Shares,,,,,,,,,,,CTE
Face value,,,,,,,,,,2.0,CTE
