Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,273.53,315.17,320.32,288.2,328.85,427.6,WINDLAS
Raw Material Cost,,,,,193.89,240.19,221.33,177.76,224.35,270.74,WINDLAS
Change in Inventory,,,,,-9.11,6.29,,-3.46,12.75,-3.67,WINDLAS
Power and Fuel,,,,,5.53,5.72,5.72,6.22,8.04,,WINDLAS
Other Mfr. Exp,,,,,1.94,1.87,1.27,3.61,4.28,,WINDLAS
Employee Cost,,,,,24.84,29.06,32.84,33.5,43.88,58.32,WINDLAS
Selling and admin,,,,,12.91,13.63,13.3,15.46,15.68,,WINDLAS
Other Expenses,,,,,4.89,6.17,9.36,3.72,4.7,40.17,WINDLAS
Other Income,,,,,1.12,3.74,4.69,2.12,0.96,-29.26,WINDLAS
Depreciation,,,,,8.78,9.46,11.32,8.09,8.69,12.97,WINDLAS
Interest,,,,,7.06,4.99,4.74,3.64,2.37,1.29,WINDLAS
Profit before tax,,,,,5.7,14.11,25.13,34.86,30.57,11.18,WINDLAS
Tax,,,,,1.16,4.94,8.22,12.39,8.11,6.17,WINDLAS
Net profit,,,,,4.55,9.17,16.9,22.47,22.46,5.01,WINDLAS
