Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,,13.02,FAIRCHEMOR
Reserves,,,,,,,,,113.7,155.71,FAIRCHEMOR
Borrowings,,,,,,,,,66.68,56.81,FAIRCHEMOR
Other Liabilities,,,,,,,,,38.49,33.07,FAIRCHEMOR
Total,,,,,,,,,218.87,258.61,FAIRCHEMOR
Net Block,,,,,,,,,126.34,126.32,FAIRCHEMOR
Capital Work in Progress,,,,,,,,,9.43,29.45,FAIRCHEMOR
Investments,,,,,,,,,,,FAIRCHEMOR
Other Assets,,,,,,,,,83.1,102.84,FAIRCHEMOR
Total,,,,,,,,,218.87,258.61,FAIRCHEMOR
Receivables,,,,,,,,,37.88,46.77,FAIRCHEMOR
Inventory,,,,,,,,,35.25,45.29,FAIRCHEMOR
Cash & Bank,,,,,,,,,0.21,0.38,FAIRCHEMOR
No. of Equity Shares,,,,,,,,,,13020902.0,FAIRCHEMOR
New Bonus Shares,,,,,,,,,,,FAIRCHEMOR
Face value,,,,,,,,,,10.0,FAIRCHEMOR
