Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,5.16,5.16,5.16,5.16,6.5,KRSNAA
Reserves,,,,,,3.64,5.56,42.88,-217.16,-17.02,KRSNAA
Borrowings,,,,,,80.97,36.78,189.03,231.25,231.78,KRSNAA
Other Liabilities,,,,,,73.69,128.13,256.03,610.73,383.27,KRSNAA
Total,,,,,,163.46,175.63,493.1,629.98,604.53,KRSNAA
Net Block,,,,,,58.54,116.13,223.01,275.1,308.51,KRSNAA
Capital Work in Progress,,,,,,20.05,5.78,41.79,9.13,3.72,KRSNAA
Investments,,,,,,0.36,0.39,0.29,0.29,0.29,KRSNAA
Other Assets,,,,,,84.51,53.33,228.01,345.46,292.01,KRSNAA
Total,,,,,,163.46,175.63,493.1,629.98,604.53,KRSNAA
Receivables,,,,,,8.44,14.11,56.22,61.43,72.47,KRSNAA
Inventory,,,,,,0.67,0.95,4.21,5.07,7.21,KRSNAA
Cash & Bank,,,,,,37.71,7.19,111.62,127.28,152.91,KRSNAA
No. of Equity Shares,,,,,,5162100.0,5162100.0,5163100.0,5163100.0,6494964.0,KRSNAA
New Bonus Shares,,,,,,,,,,,KRSNAA
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,KRSNAA
