Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,901.59,1007.89,1272.89,1428.8,1358.69,1606.11,LXCHEM
Raw Material Cost,,,,,648.57,677.27,881.3,1001.76,934.29,1035.45,LXCHEM
Change in Inventory,,,,,,,1.02,25.33,3.43,-12.37,LXCHEM
Power and Fuel,,,,,68.61,72.13,84.93,99.49,101.52,99.98,LXCHEM
Other Mfr. Exp,,,,,29.76,13.3,21.26,54.61,67.1,74.55,LXCHEM
Employee Cost,,,,,26.44,39.89,48.71,59.01,63.26,87.74,LXCHEM
Selling and admin,,,,,48.88,53.25,45.98,70.84,62.94,78.27,LXCHEM
Other Expenses,,,,,3.22,35.73,42.86,14.81,12.93,12.42,LXCHEM
Other Income,,,,,2.71,2.23,3.82,5.95,33.24,8.8,LXCHEM
Depreciation,,,,,28.41,27.27,28.81,40.92,47.63,45.26,LXCHEM
Interest,,,,,18.47,10.64,10.45,15.76,15.31,17.54,LXCHEM
Profit before tax,,,,,31.94,80.64,113.43,102.88,90.38,151.33,LXCHEM
Tax,,,,,7.37,9.87,36.7,25.09,11.76,28.77,LXCHEM
Net profit,,,,,24.57,70.77,76.73,77.79,78.62,122.55,LXCHEM
