Report Date,Unnamed: 1,2012-12-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,532.81,1398.66,1398.66,8.7,94.36,100.4,100.52,105.48,108.46,FRETAIL
Reserves,,-1522.44,-1441.05,-1820.26,1865.27,2453.35,2995.87,3751.43,3427.28,1090.69,FRETAIL
Borrowings,,627.04,183.0,390.4,1122.4,1078.73,1286.41,2657.04,8889.43,11195.51,FRETAIL
Other Liabilities,,858.3,376.6,489.5,2589.08,3311.09,3811.8,4018.69,8857.29,6490.65,FRETAIL
Total,,495.71,517.21,458.3,5585.45,6937.53,8194.48,10527.68,21279.48,18885.31,FRETAIL
Net Block,,183.94,143.48,134.54,260.93,553.78,1018.56,1440.82,3372.45,6841.53,FRETAIL
Capital Work in Progress,,38.99,46.71,43.4,,11.85,33.58,190.18,4096.09,73.94,FRETAIL
Investments,,,,,,,0.01,104.0,114.42,114.42,FRETAIL
Other Assets,,272.78,327.02,280.36,5324.52,6371.9,7142.33,8792.68,13696.52,11855.42,FRETAIL
Total,,495.71,517.21,458.3,5585.45,6937.53,8194.48,10527.68,21279.48,18885.31,FRETAIL
Receivables,,0.54,0.58,0.44,114.87,228.06,238.35,316.46,687.98,405.12,FRETAIL
Inventory,,156.41,223.52,216.15,3297.24,3735.16,4417.41,5065.59,5232.9,3995.89,FRETAIL
Cash & Bank,,37.32,22.49,9.8,89.49,156.04,214.98,252.81,148.13,68.68,FRETAIL
No. of Equity Shares,,532806000.0,1398660000.0,1398660000.0,43478261.0,471812739.0,501975154.0,502598439.0,527398439.0,542284079.0,FRETAIL
New Bonus Shares,,,,,,,,,,,FRETAIL
Face value,,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,FRETAIL
