Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,986.51,1294.4,1390.93,1214.54,1174.43,ABSLAMC
Raw Material Cost,,,,,,,,,,,ABSLAMC
Change in Inventory,,,,,,,,,,,ABSLAMC
Power and Fuel,,,,,,3.13,3.22,3.46,3.59,2.58,ABSLAMC
Other Mfr. Exp,,,,,,10.07,11.69,12.35,86.65,57.91,ABSLAMC
Employee Cost,,,,,,181.93,222.15,261.75,229.7,224.94,ABSLAMC
Selling and admin,,,,,,442.53,521.59,439.41,175.52,143.42,ABSLAMC
Other Expenses,,,,,,8.25,11.29,12.88,25.66,21.81,ABSLAMC
Other Income,,,,,,1.77,0.08,0.06,0.17,3.51,ABSLAMC
Depreciation,,,,,,7.54,9.84,13.04,35.94,36.32,ABSLAMC
Interest,,,,,,0.03,0.06,0.1,5.46,5.53,ABSLAMC
Profit before tax,,,,,,334.8,514.64,648.0,652.19,685.43,ABSLAMC
Tax,,,,,,113.7,173.17,199.13,166.29,169.59,ABSLAMC
Net profit,,,,,,221.1,341.48,448.87,485.9,515.84,ABSLAMC
