Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,449.19,624.76,2982.22,3049.87,3115.1,2667.08,PAYTM
Raw Material Cost,,,,,,,,,,,PAYTM
Change in Inventory,,,,,,,,,,,PAYTM
Power and Fuel,,,,,2.93,4.64,7.07,9.38,,,PAYTM
Other Mfr. Exp,,,,,4.11,12.21,1675.49,71.71,2864.09,2428.4,PAYTM
Employee Cost,,,,,145.56,325.14,528.66,627.78,825.12,833.9,PAYTM
Selling and admin,,,,,1369.32,1052.32,2350.33,6078.58,1827.12,1004.9,PAYTM
Other Expenses,,,,,646.91,994.56,123.81,376.83,63.46,76.59,PAYTM
Other Income,,,,,233.68,931.6,308.32,250.72,-174.77,309.88,PAYTM
Depreciation,,,,,24.8,39.05,68.92,75.81,143.18,156.78,PAYTM
Interest,,,,,1.27,4.42,27.74,20.02,50.49,36.37,PAYTM
Profit before tax,,,,,-1512.03,-875.98,-1491.48,-3959.52,-2833.13,-1559.98,PAYTM
Tax,,,,,-1.7,3.65,-1.01,0.12,0.05,0.22,PAYTM
Net profit,,,,,-1510.33,-879.63,-1490.47,-3959.64,-2833.18,-1560.2,PAYTM
