Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,481.51,547.54,921.7,967.99,841.19,824.87,1179.78,1232.4,923.79,625.22,KAMDHENU
Raw Material Cost,360.76,418.59,795.6,811.52,651.63,627.92,955.32,932.16,742.83,404.92,KAMDHENU
Change in Inventory,4.67,10.18,1.82,10.57,8.0,11.33,7.72,-16.0,33.63,-10.98,KAMDHENU
Power and Fuel,20.17,22.26,20.97,23.18,22.37,28.98,30.34,31.71,29.65,25.22,KAMDHENU
Other Mfr. Exp,22.12,22.23,3.78,24.6,28.39,24.84,29.71,32.07,11.03,21.3,KAMDHENU
Employee Cost,18.44,21.19,21.91,24.17,31.01,34.13,40.58,47.36,50.3,48.23,KAMDHENU
Selling and admin,44.43,51.13,54.22,64.27,83.46,85.92,85.87,115.93,73.82,59.73,KAMDHENU
Other Expenses,0.79,0.75,1.08,0.57,0.44,1.69,1.61,3.49,4.99,4.67,KAMDHENU
Other Income,0.61,0.67,-0.25,0.28,0.48,0.55,0.71,0.38,-24.65,-6.6,KAMDHENU
Depreciation,4.21,4.32,4.74,5.42,5.23,7.66,7.71,7.38,8.38,8.66,KAMDHENU
Interest,10.38,11.3,11.74,13.21,14.73,13.87,12.66,11.74,12.22,13.95,KAMDHENU
Profit before tax,5.49,6.62,9.23,11.9,12.41,11.74,24.41,34.94,-0.45,20.96,KAMDHENU
Tax,1.46,1.81,3.28,3.87,4.26,3.63,8.74,12.48,-2.33,5.86,KAMDHENU
Net profit,4.03,4.81,5.95,8.03,8.15,8.1,15.67,22.47,1.88,15.09,KAMDHENU
