Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,10.0,10.0,30.0,30.0,30.0,GOCOLORS
Reserves,,,,,,41.26,138.04,149.34,207.31,203.94,GOCOLORS
Borrowings,,,,,,6.74,2.56,153.85,209.58,232.34,GOCOLORS
Other Liabilities,,,,,,37.15,63.92,71.72,74.09,85.2,GOCOLORS
Total,,,,,,95.15,214.52,404.91,520.98,551.48,GOCOLORS
Net Block,,,,,,18.84,26.34,185.53,255.74,259.51,GOCOLORS
Capital Work in Progress,,,,,,0.89,1.72,1.96,8.08,8.59,GOCOLORS
Investments,,,,,,7.11,80.65,23.45,8.86,46.41,GOCOLORS
Other Assets,,,,,,68.31,105.81,193.97,248.3,236.97,GOCOLORS
Total,,,,,,95.15,214.52,404.91,520.98,551.48,GOCOLORS
Receivables,,,,,,23.81,28.89,40.08,55.64,47.14,GOCOLORS
Inventory,,,,,,27.4,43.63,70.27,107.64,84.06,GOCOLORS
Cash & Bank,,,,,,3.78,7.91,43.66,32.52,39.69,GOCOLORS
No. of Equity Shares,,,,,,10000020.0,10000040.0,30000120.0,30000120.0,30000120.0,GOCOLORS
New Bonus Shares,,,,,,5000010.0,,,,,GOCOLORS
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,GOCOLORS
