Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,160.0,1273.9,1564.01,1564.01,1564.0,1564.0,ADANIGREEN
Reserves,,,,,-0.89,-50.15,-120.11,-155.2,-125.0,157.0,ADANIGREEN
Borrowings,,,,,65.35,548.99,3486.52,2363.37,2062.0,5310.0,ADANIGREEN
Other Liabilities,,,,,51.56,8.25,396.36,1639.53,2894.0,7266.0,ADANIGREEN
Total,,,,,276.02,1780.99,5326.78,5411.71,6395.0,14297.0,ADANIGREEN
Net Block,,,,,87.22,77.56,69.23,61.56,62.0,67.0,ADANIGREEN
Capital Work in Progress,,,,,,0.98,,1.15,1.0,1.0,ADANIGREEN
Investments,,,,,165.24,1353.76,1529.66,2029.71,682.0,2920.0,ADANIGREEN
Other Assets,,,,,23.56,348.69,3727.89,3319.29,5650.0,11309.0,ADANIGREEN
Total,,,,,276.02,1780.99,5326.78,5411.71,6395.0,14297.0,ADANIGREEN
Receivables,,,,,,5.14,887.94,314.95,91.0,2534.0,ADANIGREEN
Inventory,,,,,,0.41,2.85,251.4,414.0,2429.0,ADANIGREEN
Cash & Bank,,,,,0.26,10.53,40.29,119.71,210.0,182.0,ADANIGREEN
No. of Equity Shares,,,,,160000000.0,1273900000.0,1564014280.0,1564014280.0,1564014280.0,1564014280.0,ADANIGREEN
New Bonus Shares,,,,,,,,,,,ADANIGREEN
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,ADANIGREEN
