Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,716.97,916.1,1128.26,1422.42,1698.46,2076.15,2412.99,3041.49,3536.63,3458.21,DCBBANK
Raw Material Cost,,,,,,,,,,,DCBBANK
Change in Inventory,,,,,,,,,,,DCBBANK
Power and Fuel,,,,,,,,,,,DCBBANK
Other Mfr. Exp,6.72,6.82,7.51,8.66,11.69,12.55,16.35,20.01,23.08,23.98,DCBBANK
Employee Cost,125.18,138.38,157.49,196.57,245.95,308.9,382.07,435.35,460.35,434.87,DCBBANK
Selling and admin,50.88,55.2,62.75,75.93,87.24,111.8,134.37,145.65,156.58,149.84,DCBBANK
Other Expenses,78.21,85.3,109.97,161.47,204.86,266.94,333.38,347.72,472.93,627.01,DCBBANK
Other Income,100.37,117.02,138.66,165.72,220.46,248.85,310.27,350.16,391.09,458.5,DCBBANK
Depreciation,11.97,13.64,17.97,23.36,29.1,39.03,53.36,44.18,51.14,56.6,DCBBANK
Interest,489.27,631.69,759.87,914.2,1078.96,1279.06,1417.56,1892.2,2271.72,2171.6,DCBBANK
Profit before tax,55.11,102.09,151.36,207.95,261.12,306.72,386.17,506.54,491.92,452.81,DCBBANK
Tax,0.03,0.03,,16.77,66.59,107.04,140.83,181.18,153.98,117.01,DCBBANK
Net profit,55.08,102.06,151.36,191.18,194.52,199.68,245.34,325.37,337.94,335.79,DCBBANK
