Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,,7.66,7.66,7.66,7.67,7.69,TCIEXP
Reserves,,,,,115.37,153.11,199.15,259.53,329.6,426.18,TCIEXP
Borrowings,,,,,40.81,31.61,40.66,9.84,3.91,2.12,TCIEXP
Other Liabilities,,,,,42.31,52.03,96.37,101.94,90.35,107.67,TCIEXP
Total,,,,0.05,198.49,244.41,343.84,378.97,431.53,543.66,TCIEXP
Net Block,,,,,63.75,97.14,161.99,173.07,185.43,228.38,TCIEXP
Capital Work in Progress,,,,,9.07,7.85,0.02,1.37,23.05,27.75,TCIEXP
Investments,,,,,,,,1.25,29.5,59.73,TCIEXP
Other Assets,,,,0.05,125.67,139.42,181.83,203.28,193.55,227.8,TCIEXP
Total,,,,0.05,198.49,244.41,343.84,378.97,431.53,543.66,TCIEXP
Receivables,,,,,105.39,113.09,154.38,163.14,165.77,169.46,TCIEXP
Inventory,,,,,,,,,,,TCIEXP
Cash & Bank,,,,0.04,10.91,8.78,12.18,17.1,12.6,27.22,TCIEXP
No. of Equity Shares,,,,50000.0,,38288500.0,38288725.0,38310625.0,38355400.0,38434525.0,TCIEXP
New Bonus Shares,,,,,,,,,,,TCIEXP
Face value,,,,10.0,2.0,2.0,2.0,2.0,2.0,2.0,TCIEXP
