Report Date,Unnamed: 1,Unnamed: 2,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,27.25,27.25,38.38,58.16,69.17,78.11,78.32,78.5,AAVAS
Reserves,,,-0.03,1.85,165.44,508.16,1120.73,1758.85,2019.58,2322.9,AAVAS
Borrowings,,,,150.52,1446.77,1793.39,2755.05,3653.25,5382.17,6377.72,AAVAS
Other Liabilities,,,0.05,7.06,60.19,90.96,95.15,136.62,176.99,180.93,AAVAS
Total,,,27.27,186.68,1710.78,2450.67,4040.1,5626.83,7657.06,8960.05,AAVAS
Net Block,,,,1.69,5.64,10.17,18.43,22.82,59.89,58.26,AAVAS
Capital Work in Progress,,,,0.11,,0.14,0.03,0.09,0.71,0.41,AAVAS
Investments,,,,,,0.78,4.5,4.5,4.5,4.5,AAVAS
Other Assets,,,27.27,184.88,1705.14,2439.58,4017.14,5599.42,7591.96,8896.88,AAVAS
Total,,,27.27,186.68,1710.78,2450.67,4040.1,5626.83,7657.06,8960.05,AAVAS
Receivables,,,,,,,,,,,AAVAS
Inventory,,,,,,,,,,,AAVAS
Cash & Bank,,,26.43,5.68,234.9,275.77,564.96,679.15,1192.06,1120.96,AAVAS
No. of Equity Shares,,,27250000.0,27250000.0,38383334.0,58739657.0,69950891.0,78107901.0,78322661.0,78504551.0,AAVAS
New Bonus Shares,,,,,,5366658.0,,,,,AAVAS
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AAVAS
