Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2726.5,2808.91,2911.51,2809.19,2980.61,2498.81,3245.55,3481.06,3028.82,3557.21,BEML
Raw Material Cost,1846.33,1724.28,1617.34,1373.68,1477.24,1345.73,1725.44,1970.62,1890.51,2038.25,BEML
Change in Inventory,428.81,69.92,-97.06,-209.26,-243.71,125.09,-18.66,-14.23,291.94,-0.86,BEML
Power and Fuel,34.08,33.54,35.76,33.05,32.52,34.34,36.15,34.99,34.88,34.67,BEML
Other Mfr. Exp,86.22,99.56,87.86,78.47,72.2,84.68,116.55,122.97,143.29,134.49,BEML
Employee Cost,725.08,739.4,716.76,769.11,754.53,780.73,808.5,801.93,843.87,848.65,BEML
Selling and admin,94.35,79.12,122.69,137.57,103.19,91.82,92.53,104.39,111.54,117.77,BEML
Other Expenses,252.73,228.87,104.73,133.74,149.41,134.32,196.38,195.1,209.36,240.03,BEML
Other Income,104.46,115.42,59.92,60.45,41.97,62.38,24.78,23.1,48.55,60.13,BEML
Depreciation,43.92,50.25,53.56,52.14,55.77,61.98,64.24,69.58,71.3,70.68,BEML
Interest,110.6,161.57,126.59,75.71,56.09,54.39,48.09,59.39,40.5,39.12,BEML
Profit before tax,66.46,-122.34,9.08,6.91,77.92,98.29,163.79,130.96,24.06,92.82,BEML
Tax,9.21,-42.46,4.41,0.15,14.26,13.84,34.35,67.47,-44.32,18.01,BEML
Net profit,57.25,-79.87,4.68,6.76,63.66,84.45,129.45,63.49,68.38,74.8,BEML
