Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,,6.13,RVHL
Reserves,,,,,,,,,358.09,357.9,RVHL
Borrowings,,,,,,,,,,0.04,RVHL
Other Liabilities,,,,,,,,,12.24,7.13,RVHL
Total,,,,,,,,,370.33,371.2,RVHL
Net Block,,,,,,,,,31.73,30.98,RVHL
Capital Work in Progress,,,,,,,,,0.01,,RVHL
Investments,,,,,,,,,338.56,339.73,RVHL
Other Assets,,,,,,,,,0.03,0.49,RVHL
Total,,,,,,,,,370.33,371.2,RVHL
Receivables,,,,,,,,,,0.03,RVHL
Inventory,,,,,,,,,,,RVHL
Cash & Bank,,,,,,,,,0.01,0.1,RVHL
No. of Equity Shares,,,,,,,,,,61250746.0,RVHL
New Bonus Shares,,,,,,,,,,,RVHL
Face value,,,,,,,,,,1.0,RVHL
