Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,4.6,6.1,16.7,38.39,63.28,68.18,100.37,ZODIAC
Raw Material Cost,,,,3.33,,14.4,32.01,54.76,52.84,82.97,ZODIAC
Change in Inventory,,,,-0.11,,,,,,,ZODIAC
Power and Fuel,,,,0.01,,0.01,0.02,0.04,0.03,0.03,ZODIAC
Other Mfr. Exp,,,,0.51,,,,0.01,5.12,2.89,ZODIAC
Employee Cost,,,,0.25,,0.94,1.67,2.13,2.79,3.57,ZODIAC
Selling and admin,,,,0.11,,0.43,1.43,1.26,2.13,3.63,ZODIAC
Other Expenses,,,,0.02,5.91,0.12,0.18,0.27,0.46,0.41,ZODIAC
Other Income,,,,0.01,,0.04,0.07,0.11,0.31,0.29,ZODIAC
Depreciation,,,,0.01,0.01,0.09,0.13,0.11,0.11,0.18,ZODIAC
Interest,,,,0.18,,0.4,0.27,0.28,0.74,0.93,ZODIAC
Profit before tax,,,,0.08,0.18,0.35,2.75,4.53,4.27,6.05,ZODIAC
Tax,,,,0.03,0.05,0.11,0.75,1.42,1.27,1.56,ZODIAC
Net profit,,,,0.06,0.13,0.25,2.0,3.1,3.0,4.5,ZODIAC
