Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,54.21,213.09,265.72,329.23,427.58,593.17,836.5,795.53,363.67,SHRENIK
Raw Material Cost,,56.96,207.92,244.69,339.47,426.71,613.07,804.65,760.57,357.02,SHRENIK
Change in Inventory,,6.05,7.45,-7.35,26.76,19.89,55.97,16.55,31.16,12.19,SHRENIK
Power and Fuel,,,,,,0.13,0.16,0.2,0.24,0.15,SHRENIK
Other Mfr. Exp,,,,,,3.85,7.46,10.96,23.81,0.52,SHRENIK
Employee Cost,,0.1,0.68,0.78,0.85,0.92,1.04,2.11,2.46,1.03,SHRENIK
Selling and admin,,,,,0.01,1.55,4.86,5.11,4.48,2.14,SHRENIK
Other Expenses,,1.25,3.26,3.21,4.73,0.58,1.11,0.51,1.75,0.86,SHRENIK
Other Income,,0.04,0.19,-0.02,0.24,0.36,0.79,1.32,1.28,4.65,SHRENIK
Depreciation,,0.02,0.09,0.25,0.29,0.33,0.7,0.77,2.35,1.6,SHRENIK
Interest,,1.8,7.35,7.9,6.35,7.29,9.46,12.99,16.72,18.63,SHRENIK
Profit before tax,,0.17,1.43,1.52,4.53,6.47,12.07,17.07,15.59,-1.44,SHRENIK
Tax,,0.08,0.47,0.49,1.59,2.28,4.25,6.19,4.32,0.05,SHRENIK
Net profit,,0.1,0.96,1.03,2.94,4.18,7.82,10.88,11.26,-1.48,SHRENIK
