Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,114.55,114.55,114.55,114.55,GRSE
Reserves,,,,,,,906.98,923.76,925.68,1022.57,GRSE
Borrowings,,,,,,,,,,,GRSE
Other Liabilities,,,,,,,3301.76,3152.35,4355.2,5659.77,GRSE
Total,,,,,,,4323.29,4190.66,5395.43,6796.89,GRSE
Net Block,,,,,,,389.17,302.25,303.69,340.2,GRSE
Capital Work in Progress,,,,,,,16.03,34.19,51.52,151.3,GRSE
Investments,,,,,,,,1.83,54.01,825.82,GRSE
Other Assets,,,,,,,3918.09,3852.39,4986.21,5479.57,GRSE
Total,,,,,,,4323.29,4190.66,5395.43,6796.89,GRSE
Receivables,,,,,,,202.06,219.86,535.28,178.14,GRSE
Inventory,,,,,,,517.37,350.29,452.29,801.55,GRSE
Cash & Bank,,,,,,,1022.15,1989.4,2611.32,2281.17,GRSE
No. of Equity Shares,,,,,,,114552000.0,114552000.0,114552000.0,114552000.0,GRSE
New Bonus Shares,,,,,,,,,,,GRSE
Face value,,,,,,,10.0,10.0,10.0,10.0,GRSE
