Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,153.18,182.03,255.67,275.66,296.76,306.12,343.52,343.74,335.6,335.44,RUSHIL
Raw Material Cost,97.76,116.51,165.2,173.07,173.24,170.06,191.18,193.43,174.45,175.97,RUSHIL
Change in Inventory,-4.19,3.45,6.58,-0.06,0.55,2.25,10.32,1.68,-0.26,-5.66,RUSHIL
Power and Fuel,7.01,10.87,19.2,20.78,22.37,22.08,25.91,26.84,28.05,25.63,RUSHIL
Other Mfr. Exp,6.28,8.1,12.28,12.85,21.19,19.89,20.1,22.93,25.9,28.11,RUSHIL
Employee Cost,5.95,9.41,14.46,15.72,18.41,18.48,20.98,25.62,29.32,26.82,RUSHIL
Selling and admin,14.4,16.53,22.25,24.04,24.51,28.52,37.18,38.1,38.98,36.9,RUSHIL
Other Expenses,0.21,0.59,0.71,0.87,2.15,1.19,2.0,1.85,1.73,1.37,RUSHIL
Other Income,1.2,1.45,1.44,-3.59,0.76,2.91,2.7,8.49,3.54,5.84,RUSHIL
Depreciation,2.56,5.12,7.63,6.92,6.49,6.89,7.53,8.63,8.69,9.73,RUSHIL
Interest,8.15,11.17,15.43,14.35,11.61,10.37,8.7,13.59,12.04,12.42,RUSHIL
Profit before tax,7.87,8.63,6.53,3.41,18.1,33.8,42.96,22.92,19.72,18.67,RUSHIL
Tax,2.21,4.6,3.52,4.05,10.95,8.9,12.04,8.59,-3.34,4.95,RUSHIL
Net profit,5.66,4.03,3.02,-0.65,7.15,24.89,30.92,14.33,23.05,13.72,RUSHIL
