Report Date,Unnamed: 1,Unnamed: 2,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,0.42,17.59,190.88,305.13,493.54,709.97,902.29,1103.17,AAVAS
Raw Material Cost,,,,,,,,,,,AAVAS
Change in Inventory,,,,,,,,,,,AAVAS
Power and Fuel,,,,0.08,0.4,0.66,1.19,2.14,2.47,2.7,AAVAS
Other Mfr. Exp,,,,0.04,0.24,0.95,19.73,26.74,24.68,30.68,AAVAS
Employee Cost,,,0.04,5.32,29.55,43.21,111.97,117.7,147.78,173.34,AAVAS
Selling and admin,,,0.03,1.41,8.92,19.57,24.94,30.94,31.8,24.72,AAVAS
Other Expenses,,,0.28,0.77,3.67,7.95,3.6,10.66,18.68,41.72,AAVAS
Other Income,,,0.01,,0.02,0.36,0.91,1.0,0.8,2.16,AAVAS
Depreciation,,,,0.07,1.28,2.77,5.63,9.72,19.56,20.6,AAVAS
Interest,,,,7.16,96.88,142.82,193.09,255.37,356.07,458.24,AAVAS
Profit before tax,,,0.08,2.74,49.96,87.56,134.3,257.7,302.05,353.33,AAVAS
Tax,,,0.08,0.86,17.17,30.42,41.21,81.78,52.92,63.83,AAVAS
Net profit,,,,1.89,32.78,57.14,93.09,175.91,249.12,289.5,AAVAS
