Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.01,0.01,1.4,8.69,8.69,10.14,10.14,KAPSTON
Reserves,,,,0.55,1.08,9.09,17.49,26.05,34.63,40.76,KAPSTON
Borrowings,,,,0.14,0.39,15.3,21.65,25.49,49.13,47.29,KAPSTON
Other Liabilities,,,,1.43,1.87,11.07,15.31,16.4,26.63,25.46,KAPSTON
Total,,,,2.13,3.35,36.86,63.14,76.63,120.53,123.65,KAPSTON
Net Block,,,,0.03,0.28,10.3,13.73,14.03,24.77,24.01,KAPSTON
Capital Work in Progress,,,,,,,,,,,KAPSTON
Investments,,,,,,,,,,,KAPSTON
Other Assets,,,,2.1,3.07,26.56,49.41,62.6,95.76,99.64,KAPSTON
Total,,,,2.13,3.35,36.86,63.14,76.63,120.53,123.65,KAPSTON
Receivables,,,,1.81,2.4,17.3,22.93,41.53,64.32,63.85,KAPSTON
Inventory,,,,,,0.13,0.75,2.16,2.83,2.97,KAPSTON
Cash & Bank,,,,0.05,0.13,3.15,13.74,2.13,2.42,5.78,KAPSTON
No. of Equity Shares,,,,10000.0,10000.0,1396835.0,8694909.0,8694909.0,10144061.0,10144061.0,KAPSTON
New Bonus Shares,,,,,,,,,,,KAPSTON
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,KAPSTON
