Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,14.75,78.57,80.12,89.74,99.75,53.22,MITTAL
Raw Material Cost,,,,,15.36,79.23,77.07,84.99,,,MITTAL
Change in Inventory,,,,,1.11,1.73,0.28,-1.84,2.86,-1.21,MITTAL
Power and Fuel,,,,,,0.02,0.02,0.02,0.02,0.01,MITTAL
Other Mfr. Exp,,,,,,1.23,1.16,1.03,98.82,50.45,MITTAL
Employee Cost,,,,,,0.15,0.77,0.66,0.71,0.38,MITTAL
Selling and admin,,,,,,0.22,0.48,0.37,0.32,0.27,MITTAL
Other Expenses,,,,,0.48,0.08,0.02,0.04,0.03,0.05,MITTAL
Other Income,,,,,,2.27,2.34,2.07,,,MITTAL
Depreciation,,,,,,0.11,0.23,0.14,0.11,0.08,MITTAL
Interest,,,,,,1.05,0.76,0.64,0.48,0.43,MITTAL
Profit before tax,,,,,0.02,0.48,2.23,2.08,2.12,0.34,MITTAL
Tax,,,,,0.01,,0.91,0.56,0.59,0.07,MITTAL
Net profit,,,,,0.02,0.48,1.33,1.51,1.52,0.26,MITTAL
