Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.02,2.69,2.69,2.81,4.66,4.66,16.31,IRISDOREME
Reserves,,,,,0.57,1.25,7.32,23.92,27.5,22.51,IRISDOREME
Borrowings,,,,,12.3,16.8,22.24,21.21,33.58,27.38,IRISDOREME
Other Liabilities,,,,,4.87,8.2,8.88,11.83,15.84,9.68,IRISDOREME
Total,,,,0.02,20.43,28.94,41.25,61.62,81.58,75.88,IRISDOREME
Net Block,,,,,6.66,6.26,14.88,13.87,34.11,31.33,IRISDOREME
Capital Work in Progress,,,,,0.09,,0.01,10.43,,,IRISDOREME
Investments,,,,,,,,,,,IRISDOREME
Other Assets,,,,0.02,13.68,22.68,26.36,37.32,47.47,44.55,IRISDOREME
Total,,,,0.02,20.43,28.94,41.25,61.62,81.58,75.88,IRISDOREME
Receivables,,,,,3.41,5.35,10.54,9.58,11.52,14.87,IRISDOREME
Inventory,,,,,6.51,12.26,11.03,23.26,30.76,25.31,IRISDOREME
Cash & Bank,,,,0.01,2.79,1.37,1.86,2.14,2.27,1.52,IRISDOREME
No. of Equity Shares,,,,20000.0,2691500.0,2691900.0,2810000.0,4661179.0,4661179.0,16314126.0,IRISDOREME
New Bonus Shares,,,,,,,,,,11652947.0,IRISDOREME
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,IRISDOREME
