Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,3908.71,4802.3,6643.37,10885.49,12524.21,BANDHANBNK
Raw Material Cost,,,,,,,,,,,BANDHANBNK
Change in Inventory,,,,,,,,,,,BANDHANBNK
Power and Fuel,,,,,,,,,,,BANDHANBNK
Other Mfr. Exp,,,,,,0.94,1.37,2.55,9.72,10.28,BANDHANBNK
Employee Cost,,,,,,546.37,689.16,1010.8,1369.51,1667.82,BANDHANBNK
Selling and admin,,,,,,179.72,237.09,300.62,410.66,459.07,BANDHANBNK
Other Expenses,,,,,,316.56,668.98,1153.28,1949.55,4483.52,BANDHANBNK
Other Income,,,,,,411.41,706.18,1063.05,1549.2,2109.06,BANDHANBNK
Depreciation,,,,,,66.85,85.92,78.17,80.26,103.06,BANDHANBNK
Interest,,,,,,1505.21,1770.06,2147.95,4561.58,4960.86,BANDHANBNK
Profit before tax,,,,,,1704.47,2055.9,3013.05,4053.41,2948.66,BANDHANBNK
Tax,,,,,,592.52,710.34,1061.55,1029.68,743.2,BANDHANBNK
Net profit,,,,,,1111.95,1345.56,1951.5,3023.74,2205.46,BANDHANBNK
