Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,103.0,125.0,164.0,151.0,148.0,DALBHARAT
Raw Material Cost,,,,,,,,,,,DALBHARAT
Change in Inventory,,,,,,,,,,,DALBHARAT
Power and Fuel,,,,,,,,,,,DALBHARAT
Other Mfr. Exp,,,,,,3.0,4.0,2.0,4.0,2.0,DALBHARAT
Employee Cost,,,,,,59.0,74.0,83.0,87.0,86.0,DALBHARAT
Selling and admin,,,,,,15.0,34.0,28.0,25.0,23.0,DALBHARAT
Other Expenses,,,,,,9.0,1.0,13.0,12.0,22.0,DALBHARAT
Other Income,,,,,,65.0,91.0,87.0,143.0,41.0,DALBHARAT
Depreciation,,,,,,4.0,4.0,4.0,9.0,11.0,DALBHARAT
Interest,,,,,,21.0,5.0,2.0,4.0,11.0,DALBHARAT
Profit before tax,,,,,,57.0,94.0,119.0,153.0,34.0,DALBHARAT
Tax,,,,,,17.0,22.0,18.0,18.0,9.0,DALBHARAT
Net profit,,,,,,40.0,72.0,101.0,135.0,25.0,DALBHARAT
