Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,47.67,143.09,154.4,146.57,132.8,PARAS
Raw Material Cost,,,,,,31.54,94.81,95.52,73.97,63.98,PARAS
Change in Inventory,,,,,,0.78,16.49,11.64,1.49,7.79,PARAS
Power and Fuel,,,,,,0.54,1.65,2.18,2.44,2.48,PARAS
Other Mfr. Exp,,,,,,3.92,5.7,5.32,7.27,10.2,PARAS
Employee Cost,,,,,,1.58,6.86,9.09,11.26,11.79,PARAS
Selling and admin,,,,,,2.1,7.65,8.57,8.73,5.31,PARAS
Other Expenses,,,,,,0.37,1.74,2.05,4.51,3.6,PARAS
Other Income,,,,,,0.12,3.28,2.72,2.14,1.33,PARAS
Depreciation,,,,,,1.86,6.68,9.41,9.71,9.64,PARAS
Interest,,,,,,3.63,7.36,9.75,10.21,13.06,PARAS
Profit before tax,,,,,,3.03,30.41,26.87,22.1,21.86,PARAS
Tax,,,,,,1.0,5.33,7.84,2.13,6.78,PARAS
Net profit,,,,,,2.03,25.08,19.04,19.97,15.08,PARAS
